Identifier;Company Name;Country of Headquarters;"ESG Score
In the last 10 FY";;;;;;;;;
;;;FY0;FY-1;FY-2;FY-3;FY-4;FY-5;FY-6;FY-7;FY-8;FY-9
GAV.S;Carlo Gavazzi Holding AG;Switzerland;10,39;8,87;;;;;;;;
CIE.S;CI Com SA;Switzerland;;;;;;;;;;
DAE.S;Daetwyler Holding AG;Switzerland;47,51;52,5;49,71;46,99;;;;;;
DCN.S;Datacolor AG;Switzerland;45,61;12,7;;;;;;;;
EMSN.S;Ems Chemie Holding AG;Switzerland;42,7;35,52;35,47;33,41;22,2;21,85;22,48;21,2;22,8;24,08
CFR.S;Compagnie Financiere Richemont SA;Switzerland;78,34;67,47;66,66;64,85;65,29;56,83;61,04;60,99;68,38;61,56
CFT.S;Compagnie Financiere Tradition SA;Switzerland;35,02;36,14;36,51;33,44;;;;;;
GF.S;Georg Fischer AG;Switzerland;83;83,23;74,88;76,52;74,85;73,54;76,6;74,69;78,15;72,86
FHZN.S;Flughafen Zuerich AG;Switzerland;46,23;31,48;33,33;30,8;27,25;29,25;30,4;30,98;28,38;28,82
FORN.S;Forbo Holding AG;Switzerland;60,71;64,91;63,38;61,07;57,78;;;;;
APGN.S;APG SGA SA;Switzerland;36,9;38,02;42,26;36,35;20,17;;;;;
GRKP.S;Graubuendner Kantonalbank;Switzerland;;;;;;;;;;
GURN.S;Gurit Holding AG;Switzerland;78,26;71,19;54,92;41,7;22,46;;;;;
HOLN.S;Holcim AG;Switzerland;77,51;74,72;74,97;74,69;78,53;77,1;72,04;68,9;70,59;67,39
IM.S;Immofonds Immobilien AG;Switzerland;;;;;;;;;;
ISN.S;Intershop Holding AG;Switzerland;29,09;25,61;22,67;23,56;15,88;;;;;
INT.S;Credit Suisse Real Estate Fund Interswiss A;Switzerland;;;;;;;;;;
JFN.S;Jungfraubahn Holding AG;Switzerland;29,55;27,33;27,37;14,53;13,33;;;;;
BEKN.S;Berner Kantonalbank AG;Switzerland;;;;;;;;;;
KARN.S;Kardex Holding AG;Switzerland;46,99;43,1;42,03;24,79;21,21;;;;;
EDHN.S;Energiedienst Holding AG;Switzerland;;;;;;;;;;
VATN.S;Valiant Holding AG;Switzerland;52,73;49,29;45,68;41,98;45,3;47,38;42,45;45,04;50,47;44,2
LEHN.S;Lem Holding SA;Switzerland;51,88;49,46;51,19;41,96;32,53;;;;;
LISN.S;Chocoladefabriken Lindt & Spruengli AG;Switzerland;73,56;73,17;69,22;64,2;61,34;56,23;52;45,73;45,55;41,34
METG.S;Meier Tobler Group AG;Switzerland;;;;;;;;;;
METN.S;Metall Zug AG;Switzerland;34,14;32,26;28,55;46,45;45,12;;;;;
MIKN.S;Mikron Holding AG;Switzerland;24,24;18,94;;;;;;;;
GMI.S;Groupe Minoteries SA;Switzerland;;;;;;;;;;
NESN.S;Nestle SA;Switzerland;85,42;91,39;89,3;90,6;82,53;85,32;86,49;88,55;92,58;92,47
OFN.S;Orell Fuessli AG;Switzerland;36,47;27,74;17,91;13,79;;;;;;
PEDU.S;Perrot Duval Holding SA;Switzerland;;;;;;;;;;
PMN.S;Phoenix Mecano AG;Switzerland;24,73;19,23;15,82;;;;;;;
RIEN.S;Rieter Holding AG;Switzerland;55,18;65,72;59,18;57,51;50,64;36,47;36,54;29,56;29,26;34,23
ARONL.S;Arundel AG;Switzerland;4,96;5,79;4,72;;;;;;;
SCHP.S;Schindler Holding AG;Switzerland;51,23;59,45;52,78;50,24;46,08;43,58;46,8;42,38;38,7;39,76
SWTQ.S;Schweiter Technologies AG;Switzerland;44,74;43,43;41,38;34,7;23;;;;;
SFZN.S;Siegfried Holding AG;Switzerland;68,95;69,41;66,87;64,72;69,1;;;;;
