Identifier;Company Name;Country of Headquarters;"ESG Score
In the last 10 FY";;;;;;;;;
;;;FY0;FY-1;FY-2;FY-3;FY-4;FY-5;FY-6;FY-7;FY-8;FY-9
DBAGDM32.DE;DbAG Demo Inav32;Germany;;;;;;;;;;
DBAGDM24.DE;DBAG Demo 24 ETF;Germany;;;;;;;;;;
DBAGDM22.DE;DBAG Demo 22 ETF;Germany;;;;;;;;;;
DBAGDM18.DE;DBAG Demo 18 ETF;Germany;;;;;;;;;;
DBAGDM26.DE;DBAG Demo 26 ETF;Germany;;;;;;;;;;
DBAGDM17.DE;DBAG Demo 17 ETF;Germany;;;;;;;;;;
DBAGDM29.DE;DBAG Demo 29 ETF;Germany;;;;;;;;;;
DBAGDM27.DE;DBAG Demo 27 ETF;Germany;;;;;;;;;;
DBAGDM37.DE;DBAG Demo 37 ETF;Germany;;;;;;;;;;
DBAGDM31.DE;DBAG Demo 31 ETF;Germany;;;;;;;;;;
DBAGDM38.DE;DBAG Demo 38 ETF;Germany;;;;;;;;;;
DBAGDM42.DE;DBAG Demo 42 ETF;Germany;;;;;;;;;;
DBAGDM44.DE;DBAG Demo 44 ETF;Germany;;;;;;;;;;
NGRC.PK;National Graphite Corp;Germany;;;;;;;;;;
FTKn.DE;flatexDEGIRO AG;Germany;66,73;42,66;35,11;14,35;12,65;;;;;
ETFEUAC.DE;Deka iBoxx EUR Liquid Sovereign Diversified 5-7 UCITS ETF;Germany;;;;;;;;;;
ETFEUMC.DE;Deka MSCI Europe MC UCITS ETF;Germany;;;;;;;;;;
ETFUSAC.DE;Deka MSCI USA UCITS ETF;Germany;;;;;;;;;;
ETFUSMC.DE;Deka iBoxx EUR Liquid Sovereign Diversified 7-10 UCITS ETF;Germany;;;;;;;;;;
ETFJPAC.DE;Deka MSCI Japan UCITS ETF;Germany;;;;;;;;;;
EL45.DE;Deka MSCI Japan Climate Change ESG UCITS ETF;Germany;;;;;;;;;;
RSF.S;Realstone Swiss Property;Switzerland;;;;;;;;;;
JBGOGX.S;Swisscanto ETF PM Physical Gold A;Switzerland;;;;;;;;;;
OCTX.PK;Octagon 88 Resources Inc;Switzerland;;;;;;;;;;
1SKG.MU;Sektkellerei J Oppmann AG;Germany;;;;;;;;;;
RLFB.S;Relief Therapeutics Holding SA;Switzerland;20,06;19,83;12,17;9,6;;;;;;
ESGTI.BN;ESGTI AG;Switzerland;;;;;;;;;;
BAER.S;Julius Baer Gruppe AG;Switzerland;72,06;73,91;72,7;63,05;62,79;63,5;54,84;45,15;40,87;41,51
CSGOLD.S;iShares Gold ETF (CH);Switzerland;;;;;;;;;;
CSGLDE.S;iShares Gold EUR Hedged ETF (CH);Switzerland;;;;;;;;;;
CSGLDC.S;iShares Gold CHF Hedged ETF CH;Switzerland;;;;;;;;;;
SDGPEX.DE;iShares STOXX Global Select Dividend 100 (DE);Germany;;;;;;;;;;
HACGn.DE;KPS AG;Germany;40,28;33,82;25,75;;;;;;;
TH51.MU;Teleservice AG;Germany;;;;;;;;;;
AUCHAH.S;UBS ETF (CH) - Gold (CHF) hedged (CHF) A-dis;Switzerland;;;;;;;;;;
ETFIBOXGC.DE;Deka iBoxx EUR Liq Ger Covered Divers UCITS ETF;Germany;;;;;;;;;;
TR9G.F;Otrs AG;Germany;;;;;;;;;;
JBPAUA.S;Swisscanto ETF PM Physical Palladium A;Switzerland;;;;;;;;;;
JBPLUA.S;Swisscanto ETF PM Physical Platinum USD A;Switzerland;;;;;;;;;;
JBSIUA.S;Swisscanto ETF PM Physical Silver USD A;Switzerland;;;;;;;;;;
AUUSI.S;UBS ETF (CH) - Gold (USD) A-dis;Switzerland;;;;;;;;;;
AUEUAH.S;UBS ETF (CH) - Gold (EUR) hedged (EUR) A-dis;Switzerland;;;;;;;;;;
MUSGn.D;Murphy & Spitz Green Capital AG;Germany;;;;;;;;;;
2GI.DE;GIEAG Immobilien AG;Germany;;;;;;;;;;
ETFLCD.DE;Deka iBoxx EUR Liq Corporates Divers UCITS ETF;Germany;;;;;;;;;;
TTIGn.H;TOM TAILOR Holding SE;Germany;;;;;;;;;;
KD8Gn.H;Kabel Deutschland Holding AG;Germany;19,88;14,04;8,86;19,24;18,37;21,1;20,76;23,3;33,66;23,58
BNRGn.DE;Brenntag SE;Germany;64,42;61,8;63,44;59,83;62,49;56,53;57,04;42,06;37,6;29,1
ORON.S;Orior AG;Switzerland;62,28;54,59;61,43;46,04;42,39;;;;;
XESCINAVSEK.DE;db x-tr. Euro Stoxx 50 1C SEK ETF;Germany;;;;;;;;;;
XS7RINAVSEK.DE;db x-tr. STOXX 600 BANKS 1C SEK ETF;Germany;;;;;;;;;;
DR0G.DE;Deutsche Rohstoff AG;Germany;;;;;;;;;;
GIBG.H;GSW Immobilien AG;Germany;34,37;35,62;;;;;;;;
DBIG.F;Deutsche Biotech Innovativ AG;Germany;;;;;;;;;;
OILUSA.S;UBS (CH) Fund Solutions CMCI Oil SF ETF (USD) Adis;Switzerland;;;;;;;;;;
DRWG.DE;Draegerwerk AG & Co KGaA;Germany;72,1;73,2;70,9;68,49;56,23;;;;;
ETFCHINA.DE;Deka MSCI China ex A Shares UCITS ETF;Germany;;;;;;;;;;
ETFEMMA.DE;Deka MSCI Emerging Markets UCITS ETF;Germany;;;;;;;;;;
SAXG.DE;Stroeer SE & Co KgaA;Germany;76,7;79,81;57,84;40,14;23,11;19,55;;;;
GTK.DE;Tonkens Agrar AG;Germany;;;;;;;;;;
B9BG.F;BHB Brauholding Bayern-Mitte AG;Germany;;;;;;;;;;
IXM0482.DE;MSCI Russia ETF;Germany;;;;;;;;;;
OILCHA.S;UBS (CH) Fund Solutions CMCI Oil SF ETF (CHF) Adis;Switzerland;;;;;;;;;;
SY5N.MU;Stern Immobilien AG;Germany;;;;;;;;;;
PEAN.S;Peach Property Group AG;Switzerland;31,53;25,12;24,38;;;;;;;
FYB.DE;Formycon AG;Germany;;;;;;;;;;
MDQk.H;MediNavi AG;Germany;;;;;;;;;;
PLUSA.S;UBS ETF (CH) - Palladium (USD) A-dis;Switzerland;;;;;;;;;;
SVUSA.S;UBS ETF (CH) - Silver (USD) A-dis;Switzerland;;;;;;;;;;
HOSP.S;Credit Suisse Real Estate Fund Hospitality A;Switzerland;;;;;;;;;;
CBESG.S;UBS ETF (CH) - SBI® Corporate ESG (CHF) A-dis;Switzerland;;;;;;;;;;
CHESG.S;UBS ETF (CH)-SBI® AAA-BBB ESG (CHF) A-dis;Switzerland;;;;;;;;;;
HLAG.DE;Hapag Lloyd AG;Germany;79;61,74;69,2;65,71;67,28;63,11;;;;
PGAG.F;Pearl Gold AG;Germany;;;;;;;;;;
ECF1.DE;Mountain Alliance AG;Germany;;;;;;;;;;
MLFIR.EUA;Firstcaution SA;Switzerland;;;;;;;;;;
TLXGn.DE;Talanx AG;Germany;81,29;83,84;69,47;50,94;;;;;;
ETFFS11.DE;Deka Deutsche Boerse EUROGOV® France UCITS ETF;Germany;;;;;;;;;;
ETFLCDNF.DE;Deka iBoxx EUR Liq Non-Financials Divers UCITS ETF;Germany;;;;;;;;;;
ERRES.S;Edmond de Rothschild Real Estate SICAV;Switzerland;;;;;;;;;;
NOEJ.DE;Norma Group SE;Germany;84,12;83,47;84,16;81,22;75,11;;;;;
DARG.DE;Datron AG;Germany;;;;;;;;;;
SRFCHA.S;UBS ETF (CH) - SXI Real Estate® (CHF) A-dis;Switzerland;;;;;;;;;;
ABOG.DE;clearvise AG;Germany;;;;;;;;;;
AUTON.S;Autoneum Holding AG;Switzerland;70,96;67,68;69,35;68,42;64,24;;;;;
GLEN.L;Glencore PLC;Switzerland;89,53;88,93;91,67;90,5;90,11;91,78;89,19;88,74;84,7;82,1
FREN.S;Fundamenta Real Estate AG;Switzerland;;;;;;;;;;
SRENH.S;Swiss Re AG;Switzerland;82,69;84,56;74;72,89;68,01;65,71;76,95;75,99;79,31;74,98
SW10n.H;Shw AG;Germany;18,27;18,22;14,98;;;;;;;
AMAk.F;Altech Advanced Materials AG;Germany;;;;;;;;;;
SPMCHA.S;UBS ETF (CH) - SPI® Mid (CHF) A-dis;Switzerland;;;;;;;;;;
SPICHA.S;UBS ETF (CH) - SPI® (CHF) A-dis;Switzerland;;;;;;;;;;
MOLN.S;Molecular Partners AG;Switzerland;44,34;44,6;40,05;32,51;36,68;;;;;
LMIA.DE;Lion E Mobility AG;Switzerland;;;;;;;;;;
AMI1.F;Medondo Holding AG;Germany;;;;;;;;;;
HLE.DE;HELLA GmbH & Co KGaA;Germany;66,49;63,25;59,29;45,45;43,13;;;;;
CVTEC.ST;Cavotec SA;Switzerland;35,9;17,02;7,46;;;;;;;
BKWB.S;BKW AG;Switzerland;43,13;47,48;27,02;17,37;15,17;24,77;;;;
RGLDS.S;Raiffeisen ETF - Solid Gold A USD;Switzerland;;;;;;;;;;
WFTG.DE;Weng Fine Art AG;Germany;;;;;;;;;;
NXRG.F;NEXR Technologies SE;Germany;;;;;;;;;;
SZ50k.D;Deutsche Geothermische Immobilien AG;Germany;;;;;;;;;;
CV3.MU;Carpevigo Holding AG;Germany;;;;;;;;;;
VOLSIN.DE;Nomura Voltage Short-term Source;Germany;;;;;;;;;;
KFW1.BE;Klepper Faltbootwerft AG;Germany;;;;;;;;;;
NABG.H;Nabag AG;Germany;;;;;;;;;;
DOCM.S;DocMorris AG;Switzerland;52,07;51,25;36,57;22,75;18,99;;;;;
LO2k.H;Lotto24 AG;Germany;;;;;;;;;;
ZUGN.S;Zug Estates Holding AG;Switzerland;45,68;30,07;;;;;;;;
AD10k.MU;Auden AG;Germany;;;;;;;;;;
ML2G.F;Ming Le Sports AG;Germany;;;;;;;;;;
AB9.H;ABO Wind AG;Germany;23,61;24,13;18,45;;;;;;;
O2Dn.DE;Telefonica Deutschland Holding AG;Germany;74,35;69,32;66,76;58,25;54,95;43,89;40,99;35,96;32,2;42,6
LEON.S;Leonteq AG;Switzerland;59,24;53,13;40,18;34,41;33,89;;;;;
T3PA.DE;European Energy Exchange AG;Germany;;;;;;;;;;
FF24.DE;Fast Finance 24 Holding AG;Germany;;;;;;;;;;
LEGn.DE;LEG Immobilien SE;Germany;72,93;64,41;59,56;58,74;58,21;45,12;41,78;25,45;;
MLAAH.EUA;Amatheon Agri Holding NV;Germany;;;;;;;;;;
OSRn.H;Osram Licht AG;Germany;81,68;83,23;83,02;77,43;71,94;66,41;60,48;40,69;;
SFSN.S;SFS Group AG;Switzerland;45,02;42,41;40,24;39,06;32,88;;;;;
CCH.L;Coca Cola HBC AG;Switzerland;89,48;91,32;89,85;89,19;88,98;88,19;93,51;82,94;81;
BIIO.PK;Bionovate Technologies Corp;Switzerland;;;;;;;;;;
IS3B.DE;iShares € Corp Bond Financials UCITS ETF EUR(Dist);Germany;;;;;;;;;;
ADE.DE;Bitcoin Group SE;Germany;;;;;;;;;;
KBX.DE;Knorr Bremse AG;Germany;83,75;78,67;68,76;63,3;55,16;;;;;
KGX.DE;Kion Group AG;Germany;79,49;63,14;61,29;57,42;46,32;34,17;30,05;;;
VNAn.DE;Vonovia SE;Germany;86,3;87,89;87,74;72,32;73,84;59,01;35,7;23,78;;
ELF0.DE;Deka DAX® ex Financials 30 UCITS ETF;Germany;;;;;;;;;;
NREN.S;Novavest Real Estate AG;Switzerland;;;;;;;;;;
PU11n.DE;Social Chain AG;Germany;;;;;;;;;;
A62.DE;IGP Advantag AG;Germany;;;;;;;;;;
BST1.DE;Bastei Luebbe AG;Germany;;;;;;;;;;
VJET.OQ;Voxeljet AG;Germany;;;;;;;;;;
CMBN.S;Cembra Money Bank AG;Switzerland;63,27;62,39;61,27;57,37;49,17;49,86;37,41;;;
SWICHA.S;UBS ETF (CH)-MSCI Switzerland (CHF) A-dis;Switzerland;;;;;;;;;;
ZALG.DE;Zalando SE;Germany;72,63;74,08;84,39;79,33;73,9;68,39;69,84;42,21;;
WBIO.BN;Wockhardt Bio AG;Switzerland;5,3;5,87;;;;;;;;
CHCORP.S;iShares Core CHF Corporate Bond ETF (CH);Switzerland;;;;;;;;;;
RGLDOU.S;Raiffeisen ETF - Solid Gold Ounces A CHF;Switzerland;;;;;;;;;;
TKBP.S;Thurgauer Kantonalbank;Switzerland;;;;;;;;;;
HIAG.S;HIAG Immobilien Holding AG;Switzerland;31,51;30,09;21,11;;;;;;;
ELF1.DE;Deka MDAX® UCITS ETF;Germany;;;;;;;;;;
AM3D.DE;SLM Solutions Group AG;Germany;40,89;36,64;36,7;16,03;19,24;;;;;
CHDVD.S;iShares Swiss Dividend ETF (CH);Switzerland;;;;;;;;;;
CHSPI.S;iShares Core SPI® ETF (CH);Switzerland;;;;;;;;;;
STM1.DE;Stabilus SE;Germany;62,9;49,78;44,72;37,72;;;;;;
GLKBN.S;Glarner Kantonalbank;Switzerland;;;;;;;;;;
S0E1g.F;Dr Wiesent Sozial gemeinnuetzige GmbH;Germany;;;;;;;;;;
WIZZ.L;Wizz Air Holdings PLC;Switzerland;60,36;58,82;45,76;33,12;36,52;32,99;19,86;16,45;;
CISg.D;Calvatis GmbH;Germany;;;;;;;;;;
FEOIb.ST;Fenix Outdoor International AG;Switzerland;36,03;36,07;;;;;;;;
AFMD.OQ;Affimed NV;Germany;29,87;32,42;20,44;4,45;;;;;;
FKEK.F;Defraq Ventures AG;Germany;;;;;;;;;;
DDM.ST;DDM Holding AG;Switzerland;17,37;18,19;18,64;7,8;;;;;;
GALE.S;Galenica AG;Switzerland;66,69;66,54;67,18;61,92;66,56;56,72;;;;
93M1k.DE;MPH Health Care AG;Germany;;;;;;;;;;
RKET.H;Rocket Internet SE;Germany;19,88;14,41;17,29;;;;;;;
VVY.AS;Vivoryon Therapeutics NV;Germany;;;;;;;;;;
APN.BN;AP Alternative Portfolio AG;Switzerland;10,19;8,21;;;;;;;;
TLGG.H;TLG Immobilien AG;Germany;28,05;29,82;;;;;;;;
UBSG.S;UBS Group AG;Switzerland;88,8;90,52;90,18;90,83;90,92;91,38;82,62;79,85;88,44;86,15
0J8ZINAV.DE;Deka MSCI Europe ex EMU UCITS ETF;Germany;;;;;;;;;;
ZSMLINAV=SOLA;Zacks Earnings Small-Cap U.S. Index Fund ETF;Germany;;;;;;;;;;
TC1n.H;Tele Columbus AG;Germany;28,95;24,05;;;;;;;;
SD1n.F;Clean Logistics SE;Germany;;;;;;;;;;
ELF5.DE;Deka MSCI Europe ex EMU UCITS ETF;Germany;;;;;;;;;;
IQL.DE;iQ International AG;Switzerland;;;;;;;;;;
LNSX.F;Allane SE;Germany;29,96;30,39;24,28;23,2;23,34;;;;;
BRKO.PK;Broke Out Inc;Germany;;;;;;;;;;
PALG.DE;Pantaflix AG;Germany;;;;;;;;;;
DG6.H;DG Gruppe AG;Germany;;;;;;;;;;
FC9.DE;FCR Immobilien AG;Germany;;;;;;;;;;
NB2.DE;Northern Data AG;Germany;;;;;;;;;;
PBYG.DE;Publity AG;Germany;;;;;;;;;;
PLANZ.S;Plazza AG;Switzerland;;;;;;;;;;
MSU.MI;Mondo TV Suisse SA;Switzerland;;;;;;;;;;
ELFA.DE;Deka EURO STOXX 50 ESG Filtered UCITS ETF;Germany;;;;;;;;;;
WDL1k.F;Windeln.de SE;Germany;;;;;;;;;;
RY8.F;ROY Asset Holding SE;Germany;;;;;;;;;;
ELBG.DE;elumeo SE;Germany;;;;;;;;;;
WAFGn.DE;Siltronic AG;Germany;57,32;59,98;61,52;56,98;46,44;47,96;;;;
EBSG.H;Elbstein AG;Germany;;;;;;;;;;
SGFn.DE;SGT German Private Equity GmbH & Co KgaA;Germany;;;;;;;;;;
ELFB.DE;Deka Oekom Euro Nachhaltigkeit UCITS ETF;Germany;;;;;;;;;;
MLHK.EUA;H&K AG;Germany;;;;;;;;;;
ELFC.DE;Deka EURO iSTOXX ex Fin Dividend+ UCITS ETF;Germany;;;;;;;;;;
M12.DE;M1 Kliniken AG;Germany;;;;;;;;;;
1COV.DE;Covestro AG;Germany;81,13;78;76,72;74,9;73,41;68,53;66,4;52,45;;
G24n.DE;Scout24 SE;Germany;68,19;72,38;71,46;55,01;54,53;39,75;31,84;;;
MRXG.DE;Mister Spex SE;Germany;;;;;;;;;;
SHA_p.DE;Schaeffler AG;Germany;79,97;76,94;66,52;62,54;47,44;42,92;37,37;;;
HBH.DE;HORNBACH Holding AG & Co KgaA;Germany;55,35;57,82;57,66;;;;;;;
AVES.H;Aves One AG;Germany;;;;;;;;;;
ALTME.PA;TME Pharma NV;Germany;;;;;;;;;;
EADG.DE;Erlebnis Akademie AG;Germany;;;;;;;;;;
ELFD.DE;Deka Eurozone Rendite Plus 1-10 UCITS ETF;Germany;;;;;;;;;;
ED4.DE;EDAG Engineering Group AG;Switzerland;50,64;48,9;44,67;34,54;;;;;;
E903.DE;Lyxor 1 DivDAX® DR UCITS ETF (I);Germany;;;;;;;;;;
E907.DE;Lyxor 1 MDAX ESG UCITS ETF (I);Germany;;;;;;;;;;
DKG.DE;Deutsche Konsum REIT-AG;Germany;;;;;;;;;;
ETEG.D;Ekotechnika AG;Germany;10,84;6,67;;;;;;;;
HSRN.H;HelveticStar Holding AG in Liquidation;Switzerland;;;;;;;;;;
BNNn.DE;BRAIN Biotech AG;Germany;;;;;;;;;;
GNRO.PA;Geneuro SA;Switzerland;17,8;18,03;20,26;;;;;;;
VACN.S;VAT Group AG;Switzerland;42,17;35,46;31,4;20,62;15,87;;;;;
WIHN.S;Wisekey International Holding AG;Switzerland;18,26;16,47;15,02;;;;;;;
5NB.D;Novetum AG;Germany;;;;;;;;;;
NMIG.D;Aladdin Healthcare Technologies SE;Germany;;;;;;;;;;
F701.DE;Lyxor Portfolio Strategy UCITS ETF;Germany;;;;;;;;;;
0GM.D;graceNT AG;Switzerland;;;;;;;;;;
TALKP.ST;TalkPool AG;Switzerland;20,35;13,76;12,86;;;;;;;
3330k.F;Decheng Technology AG;Germany;;;;;;;;;;
IREN.S;Investis Holding SA;Switzerland;21,69;16,58;14,83;10,58;10,55;;;;;
DBI.VI;Dr Bock Industries AG;Germany;;;;;;;;;;
DEF.DE;Defama Deutsche Fachmarkt AG;Germany;;;;;;;;;;
ACIU.OQ;AC Immune SA;Switzerland;37,98;34,78;;;;;;;;
U1DA.F;Finchain Capital Partners AG;Germany;;;;;;;;;;
UN01.DE;Uniper SE;Germany;67,43;63,5;62,89;64,93;65,31;50,03;;;;
VQTG.DE;va Q tec AG;Germany;43,18;17,68;;;;;;;;
R1B.DE;Rubean AG;Germany;;;;;;;;;;
CRSP.OQ;CRISPR Therapeutics AG;Switzerland;43,64;49,51;36,62;;;;;;;
E908.DE;Lyxor 1 TecDAX (DR) UCITS ETF (I);Germany;;;;;;;;;;
TRVG.OQ;Trivago NV;Germany;43,68;41,26;32,24;;;;;;;
VARN.S;Varia US Properties AG;Switzerland;29,18;15,22;13,51;;;;;;;
PCZ.DE;ProCredit Holding AG & Co KGaA;Germany;73,29;70,59;62,34;51,77;;;;;;
G4B.H;Good Brands AG;Germany;;;;;;;;;;
VRL.DE;Net Digital AG;Germany;;;;;;;;;;
OBSN.S;Obseva SA;Switzerland;31,63;34,34;;;;;;;;
AAGG.DE;Aumann AG;Germany;34,57;25,28;22;16,97;16,13;;;;;
SYMS.PA;Symetis SA;Switzerland;;;;;;;;;;
IBU.DE;IBU-tec advanced materials AG;Germany;;;;;;;;;;
0W6K.L;Consus Real Estate AG;Germany;3,66;4,49;;;;;;;;
DHER.DE;Delivery Hero SE;Germany;81,34;82,65;82,41;69,26;60,13;48,31;;;;
TBX0.F;Tick Trading Software AG;Germany;;;;;;;;;;
VAO.F;Vapiano SE;Germany;;;;;;;;;;
N4G.DE;Naga Group AG;Germany;;;;;;;;;;
IDIA.S;Idorsia Ltd;Switzerland;78,23;74,05;75,16;51,14;51,85;;;;;
NUVG.DE;Noratis AG;Germany;;;;;;;;;;
B4B.DE;METRO AG;Germany;72,48;72,5;68,3;55,14;52,89;56,77;;;;
JST.DE;Jost Werke SE;Germany;61,97;63,26;52,22;41,34;41,77;;;;;
LANDI.S;Landis+Gyr Group AG;Switzerland;73,4;66,34;61,02;41,68;;;;;;
VBX.DE;Voltabox AG;Germany;;;;;;;;;;
UPFE.S;UBS Fund Management Switzerland AG;Switzerland;;;;;;;;;;
M0YNn.DE;Mynaric AG;Germany;;;;;;;;;;
IFRX.OQ;InflaRx NV;Germany;;;;;;;;;;
MAXIMA.BN;Promaxima Immobilien AG;Switzerland;;;;;;;;;;
HFGG.DE;Hellofresh SE;Germany;79,25;67,87;46,6;40,05;;;;;;
LOV.OQ;Spark Networks SE;Germany;;;;;;;;;;
ADMI.BN;Admicasa Holding AG;Switzerland;;;;;;;;;;
PH6.F;Philion SE;Germany;;;;;;;;;;
S9I.DE;Stemmer Imaging AG;Germany;;;;;;;;;;
INS2.DE;Instone Real Estate Group SE;Germany;60,37;60,8;49,56;;;;;;;
SHLG.DE;Siemens Healthineers AG;Germany;79,29;80,83;78,22;77,28;76,05;;;;;
L03Ag.MU;LHI Palaimon GmbH;Germany;;;;;;;;;;
MB7.MU;Hydrogen Fuel and EV Charge Solutions AG;Germany;;;;;;;;;;
DMPG.DE;Dermapharm Holding SE;Germany;48,43;46,75;41,03;;;;;;;
RORG.D;SunMirror AG;Switzerland;;;;;;;;;;
SENIO.BN;SenioResidenz AG;Switzerland;;;;;;;;;;
UDCG.DE;UniDevice AG;Germany;;;;;;;;;;
DWSG.DE;DWS Group GmbH & Co KgaA;Germany;64,16;62,29;51,61;40,54;;;;;;
SENSI.S;Sensirion Holding AG;Switzerland;53,58;47,13;38,6;24,8;;;;;;
ASWN.S;Asmallworld AG;Switzerland;13,04;11,43;4,26;;;;;;;
MEDA.S;Medartis Holding AG;Switzerland;55,33;43,57;40,2;32,82;23,65;;;;;
CYR.DE;Cyan AG;Germany;;;;;;;;;;
SJJG.DE;Serviceware SE;Germany;28,32;26,68;18,6;;;;;;;
SPEXN.S;Spexis AG;Switzerland;19,55;18,53;22,88;;;;;;;
Z29.DE;029 Group SE;Germany;;;;;;;;;;
SF3.DE;STS Group AG;Germany;17,28;19,64;14,5;;;;;;;
NFN.DE;Nfon AG;Germany;;;;;;;;;;
HHHAk.MU;Homes & Holiday AG;Germany;;;;;;;;;;
CPXG.DE;Capsensixx AG;Germany;;;;;;;;;;
H24.DE;Home24 SE;Germany;63,16;46,99;47,7;;;;;;;
IRPA.H;Lodgyslife AG;Germany;;;;;;;;;;
KLIN.S;Klingelnberg AG;Switzerland;18,35;18,39;15,4;;;;;;;
MMM.AX;Marley Spoon SE;Germany;41,19;37,14;;;;;;;;
GB.N;Global Blue Group Holding Ltd;Switzerland;25,94;25,62;;;;;;;;
CSQG.DE;Creditshelf AG;Germany;;;;;;;;;;
PRO.BN;Procimmo Group AG;Switzerland;;;;;;;;;;
TRUG.DE;Traumhaus AG;Germany;;;;;;;;;;
NF4.DE;Netfonds AG;Germany;;;;;;;;;;
GTX.OQ;Garrett Motion Inc;Switzerland;80,39;65,68;49,74;45,72;;;;;;
LHG4g.MU;LHI Portunus I Genuesse-GmbH;Germany;;;;;;;;;;
SIGNC.S;SIG Group AG;Switzerland;88,76;84,46;73,48;65,58;66,15;;;;;
8TRA.DE;Traton SE;Germany;50,11;33,71;25,9;;;;;;;
WEW.DE;Westwing Group SE;Germany;55,29;41,47;28,39;;;;;;;
LIK.DE;Limes Schlosskliniken AG;Germany;;;;;;;;;;
DFV.DE;DFV Deutsche Familienversicherung AG;Germany;;;;;;;;;;
IMTX.OQ;Immatics NV;Germany;;;;;;;;;;
EBE.DE;Aifinyo AG;Germany;;;;;;;;;;
PAGn.DE;PREOS Global Office Real Estate & Technology AG;Germany;;;;;;;;;;
BALG.VI;BAL Germany AG;Germany;;;;;;;;;;
A7K.D;Hbi-Hyperion Se;Germany;;;;;;;;;;
TUFG.F;RAVENO Capital AG;Germany;;;;;;;;;;
SRAIL.S;Stadler Rail AG;Switzerland;42,27;36,69;32,4;15,79;;;;;;
MOVE.S;Medacta Group SA;Switzerland;64,52;58,17;44,4;36,04;;;;;;
JMIA.N;Jumia Technologies AG;Germany;54,4;52,95;0,96;;;;;;;
ALCC.S;Alcon AG;Switzerland;73,76;68,29;67,97;27,85;;;;;;
3D6.DE;Avemio AG;Germany;;;;;;;;;;
AFPD.S;Aluflexpack AG;Switzerland;33,38;33,33;23,83;;;;;;;
S6P.F;Spielvereinigung Unterhaching Fussball GmbH & Co KgaA;Germany;;;;;;;;;;
MERV.VI;MERIDIANA Blockchain Ventures SE;Germany;;;;;;;;;;
ABT1.D;Advanced Bitcoin Technologies AG;Germany;;;;;;;;;;
ULTIMA.BN;Ultima Capital SA;Switzerland;;;;;;;;;;
ADCT.N;ADC Therapeutics SA;Switzerland;45;29,84;;;;;;;;
TMV.DE;TeamViewer SE;Germany;64,87;70,55;69,58;44,5;;;;;;
BNTX.OQ;BioNTech SE;Germany;85,48;85,23;74,19;;;;;;;
XLS.S;Xlife Sciences AG;Switzerland;;;;;;;;;;
1846.HK;Euroeyes International Eye Clinic Ltd;Germany;;;;;;;;;;
SWON.S;Softwareone Holding AG;Switzerland;66,92;67,9;66,62;68,47;;;;;;
CNTG.OQ;Centogene NV;Germany;54,45;57,01;54,8;;;;;;;
SBXn.D;SynBiotic SE;Germany;;;;;;;;;;
EXLn.DE;Exasol AG;Germany;;;;;;;;;;
TIONG.DE;Tion Renewables AG;Germany;;;;;;;;;;
XCXG.D;coinIX GmbH & Co KgaA;Germany;;;;;;;;;;
CT4.D;Fox E-Mobility AG;Germany;;;;;;;;;;
GAG1n.DE;GORE German Office Real Estate AG;Germany;;;;;;;;;;
NLSP.OQ;NLS Pharmaceutics AG;Switzerland;21,9;8,54;;;;;;;;
VCHG.D;Valuechain Se;Germany;;;;;;;;;;
PSGG.DE;PharmaSGP Holding SE;Germany;;;;;;;;;;
INAI.S;Ina Invest Holding AG;Switzerland;;;;;;;;;;
BTCE.DE;ETC Issuance GmbH;Germany;;;;;;;;;;
C900n.D;Auto.De AG;Germany;;;;;;;;;;
ACHIN.S;Achiko AG;Switzerland;;;;;;;;;;
VZUG.S;V-ZUG Holding AG;Switzerland;57,7;55,65;44,37;;;;;;;
BKHTn.DE;Brockhaus Technologies AG;Germany;;;;;;;;;;
CVAC.OQ;CureVac NV;Germany;22,48;;;;;;;;;
5GG.D;Consulting Team Holding AG;Germany;;;;;;;;;;
KTAG.DE;Knaus Tabbert AG;Germany;57,21;61,87;;;;;;;;
VIAO.N;VIA Optronics AG;Germany;30,27;22,55;;;;;;;;
ENR1n.DE;Siemens Energy AG;Germany;73,55;77,81;79,93;;;;;;;
HAGG.DE;Hensoldt AG;Germany;76,33;74,48;65,38;;;;;;;
SSU.N;SIGNA Sports United NV;Germany;;;;;;;;;;
4NJ.D;Deutsche Payment A1M SE;Germany;;;;;;;;;;
C0M.F;Compleo Charging Solutions AG;Germany;;;;;;;;;;
BEN1.MU;Beno Holding AG;Germany;;;;;;;;;;
MLTX.OQ;MoonLake Immunotherapeutics;Switzerland;;;;;;;;;;
CUUG.D;Convalue Se;Germany;;;;;;;;;;
123F.DE;123fahrschule SE;Germany;;;;;;;;;;
FSNT.DE;Fashionette AG;Germany;;;;;;;;;;
67R.D;Optal-Mology AG;Germany;;;;;;;;;;
LILM.OQ;Lilium NV;Germany;;;;;;;;;;
88D.MU;WR Wohnraum AG;Germany;;;;;;;;;;
NA9n.DE;Nagarro SE;Germany;50,12;47,81;37,01;;;;;;;
8HC.D;Cogia AG;Germany;;;;;;;;;;
MYTE.N;MYT Netherlands Parent BV;Germany;;;;;;;;;;
05P.D;Impera SE;Germany;;;;;;;;;;
AG1G.DE;AUTO1 Group SE;Germany;45,78;47,37;17,41;;;;;;;
