Company Name;Country of Headquarters;ESG Score;;;;;;;;;
;;46,54;37,86;35,58;27,42;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;38,27;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;48,2;49,54;46,65;;;;;;;
;;;;;;;;;;;
;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
Enercity AG;Germany;;;;;;;;;;
MLP SE;Germany;65,65;61,63;50,88;47,44;43,46;28,28;40,55;32,4;31,31;36,77
Maschinenfabrik Berthold Hermle AG;Germany;26,27;23,82;;;;;;;;
MedNation AG;Germany;;;;;;;;;;
Turbon AG;Germany;;;;;;;;;;
Villeroy & Boch AG;Germany;71,12;61,98;60,75;;;;;;;
Schlatter Industries AG;Switzerland;;;;;;;;;;
Biotest AG;Germany;57,72;61,55;57,43;54,44;51,13;;;;;
Bertrandt AG;Germany;56,47;43,24;33,45;45,04;;;;;;
Uzin Utz SE;Germany;43,32;32,29;;;;;;;;
Belimo Holding AG;Switzerland;61,73;50,42;48,67;43,32;40,81;36,87;30,83;37,84;39,21;34,84
Bellevue Group AG;Switzerland;38,79;35,53;21,55;;;;;;;
BB Biotech AG;Switzerland;41,77;20,77;20,66;11,18;10,82;6,65;5,85;4,87;6,41;9,5
Novartis AG;Switzerland;85,26;86,39;85,55;83,2;85,15;82,99;84,24;84,3;84,46;84,7
One Swiss Bank SA;Switzerland;14,82;10,82;;;;;;;;
Hypothekarbank Lenzburg AG;Switzerland;;;;;;;;;;
Huber+Suhner AG;Switzerland;64,7;64,83;64,48;51,36;50,33;42,74;39,66;48,43;36,67;40,57
Leclanche SA;Switzerland;17,75;14,97;;;;;;;;
MorphoSys AG;Germany;53,07;54,28;53,24;49,73;42,6;41,35;45,67;45,54;46,34;
mwb Fairtrade Wertpapierhandelsbank AG;Germany;;;;;;;;;;
Neschen AG;Germany;;;;;;;;;;
Crealogix Holding AG;Switzerland;26,24;25,06;20,82;;;;;;;
Banque Cantonale du Valais;Switzerland;;;;;;;;;;
SOLVALOR 61;Switzerland;;;;;;;;;;
Deutsche Balaton AG;Germany;;;;;;;;;;
Mobilezone Holding AG;Switzerland;40,2;35,33;29,05;18,03;11,28;;;;;
Valartis Group AG;Switzerland;19,48;21,62;17,62;;;;;;;
Bossard Holding AG;Switzerland;43,93;51,4;39,44;33,15;27,3;;;;;
Fresenius Medical Care AG & Co KGaA;Germany;86,42;86,72;84,13;79,68;80,14;74,18;72,72;68,92;66,43;67,55
iShares Core EURO STOXX 50 UCITS ETF (DE);Germany;;;;;;;;;;
SolarWorld AG;Germany;62,91;66,81;69,23;51,32;54,41;54,76;56,83;57,03;71,65;63,46
iShares STOXX Europe 50 UCITS ETF (DE);Germany;;;;;;;;;;
Sangui Biotech International Inc;Germany;;;;;;;;;;
Bergbahnen Engelberg Truebsee Titlis Bet AG;Switzerland;;;;;;;;;;
Avis Financial Corp;Switzerland;;;;;;;;;;
Merkur Privatbank KGaA;Germany;;;;;;;;;;
iShares Core DAX UCITS ETF (DE);Germany;;;;;;;;;;
TELES Informationstechnologien AG;Germany;;;;;;;;;;
CompuGroup Medical SE & Co KgaA;Germany;48,09;47,67;41,38;30,52;30,24;;;;;
Swiss Steel Holding AG;Switzerland;51,48;49,29;50,26;44,13;46,94;;;;;
Puma SE;Germany;86,08;85,44;81,27;80,14;72,49;73,96;72,93;74,53;72,03;73,76
Berliner Effektengesellschaft AG;Germany;;;;;;;;;;
Beta Systems Software AG;Germany;;;;;;;;;;
Sto SE & Co KgaA;Germany;57,96;52,38;48,38;45,91;;;;;;
Ascom Holding AG;Switzerland;59,43;57,67;54,31;45,32;29,51;;;;;
Konsortium AG;Germany;;;;;;;;;;
RM Rheiner Management AG;Germany;;;;;;;;;;
IWG Plc;Switzerland;54,88;52,11;53,31;59,03;58,92;49,08;50,15;35,9;39,06;45,45
Grammer AG;Germany;59,46;40,7;39,51;;;;;;;
Alpine Select AG;Switzerland;12,77;12,19;11,4;;;;;;;
adesso SE;Germany;62,27;23,66;20,79;;;;;;;
Clere AG;Germany;;;;;;;;;;
Readcrest Capital AG;Germany;;;;;;;;;;
Highlight Event and Entertainment AG;Switzerland;9,72;10,93;7,34;;;;;;;
Softline AG;Germany;;;;;;;;;;
R Stahl AG;Germany;29,88;32,86;33,55;;;;;;;
Ymos AG;Germany;;;;;;;;;;
Comet Holding AG;Switzerland;59,43;49,54;46,95;28,8;22,88;;;;;
Dormakaba Holding AG;Switzerland;84,96;82,39;82,02;71,54;68,66;62,06;55,07;42,21;46,23;39,71
SM Wirtschaftsberatungs AG;Germany;;;;;;;;;;
Cewe Stiftung & Co KGaA;Germany;64,2;59,53;49,27;51,37;;;;;;
Inficon Holding AG;Switzerland;55,3;53,16;25,89;19,64;;;;;;
Clariant AG;Switzerland;80,49;79,76;80,48;76,63;77,56;76,45;76,5;68,79;68,33;66,94
Jenoptik AG;Germany;68,1;69,2;56,59;53,4;49;;;;;
SGL Carbon SE;Germany;70,12;69,5;67,51;65,68;66,77;58,63;57,62;53,96;42,47;42,95
Swatch Group AG;Switzerland;64,55;58,52;35,64;32,71;30,5;29,94;25,29;25,04;20,42;17,5
Mercedes Benz Group AG;Germany;92,34;93,97;93,92;93,26;93,83;91,38;92,21;93,03;90,88;94,57
Edel SE & Co KgaA;Germany;;;;;;;;;;
Brueder Mannesmann AG;Germany;;;;;;;;;;
Logitech International SA;Switzerland;79,77;71,4;68,69;64,31;65,18;61,68;38,06;26,55;26,86;26
ais AG;Germany;;;;;;;;;;
Adtran Networks SE;Germany;72,99;76,54;70,29;69,15;74,37;;;;;
